exchange,raw_id,security_code,security_abbr,bond_name,title,publish_date,issue_result_date,issue_date_source,amount_billion,amount_source,bulletin_type_code,bulletin_type_name,url,parse_note,trace_result_url,trace_result_title,trace_result_publish_date
SSE,2024080900241431J3OACOMPANY_BOND,241431,GV天成01,华能天成融资租赁有限公司2024年面向专业投资者公开发行绿色乡村振兴公司债券（第三期）发行公告,华能天成融资租赁有限公司2024年面向专业投资者公开发行绿色乡村振兴公司债券（第三期）发行公告,2024-08-09,2024-08-09,publish_date_fallback,,,1101,发行公告,https://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2024-08-09/241431_20240809_J3OA.pdf,,,,
SSE,2024080900241432XZN1COMPANY_BOND,241432,GV天成02,华能天成融资租赁有限公司2024年面向专业投资者公开发行绿色乡村振兴公司债券（第三期）发行公告,华能天成融资租赁有限公司2024年面向专业投资者公开发行绿色乡村振兴公司债券（第三期）发行公告,2024-08-09,2024-08-09,publish_date_fallback,,,1101,发行公告,https://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2024-08-09/241432_20240809_XZN1.pdf,,,,
SSE,20240809002414310MOECOMPANY_BOND,241431,GV天成01,华能天成融资租赁有限公司2024年面向专业投资者公开发行绿色乡村振兴公司债券（第三期）信用评级报告,华能天成融资租赁有限公司2024年面向专业投资者公开发行绿色乡村振兴公司债券（第三期）信用评级报告,2024-08-09,2024-08-09,publish_date_fallback,,,1101,发行公告,https://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2024-08-09/241431_20240809_0MOE.pdf,,,,
SSE,2024080900241431U9URCOMPANY_BOND,241431,GV天成01,华能天成融资租赁有限公司2024年面向专业投资者公开发行绿色乡村振兴公司债券（第三期）募集说明书,华能天成融资租赁有限公司2024年面向专业投资者公开发行绿色乡村振兴公司债券（第三期）募集说明书,2024-08-09,2024-08-09,publish_date_fallback,,,1101,发行公告,https://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2024-08-09/241431_20240809_U9UR.pdf,,,,
SSE,2024071900241308G283COMPANY_BOND,241308,GC申YKV2,申能股份有限公司2024年面向专业投资者公开发行碳中和绿色科技创新乡村振兴可续期公司债券（第二期）发行公告,申能股份有限公司2024年面向专业投资者公开发行碳中和绿色科技创新乡村振兴可续期公司债券（第二期）发行公告,2024-07-19,2024-07-19,publish_date_fallback,12.0,scale,1101,发行公告,https://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2024-07-19/241308_20240719_G283.pdf,,,,
SSE,2024080900241432FOARCOMPANY_BOND,241432,GV天成02,华能天成融资租赁有限公司2024年面向专业投资者公开发行绿色乡村振兴公司债券（第三期）信用评级报告,华能天成融资租赁有限公司2024年面向专业投资者公开发行绿色乡村振兴公司债券（第三期）信用评级报告,2024-08-09,2024-08-09,publish_date_fallback,,,1101,发行公告,https://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2024-08-09/241432_20240809_FOAR.pdf,,,,
SSE,2024080900241432L7UVCOMPANY_BOND,241432,GV天成02,华能天成融资租赁有限公司2024年面向专业投资者公开发行绿色乡村振兴公司债券（第三期）募集说明书,华能天成融资租赁有限公司2024年面向专业投资者公开发行绿色乡村振兴公司债券（第三期）募集说明书,2024-08-09,2024-08-09,publish_date_fallback,,,1101,发行公告,https://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2024-08-09/241432_20240809_L7UV.pdf,,,,
SSE,2024071900241308MA1HCOMPANY_BOND,241308,GC申YKV2,申能股份有限公司2024年面向专业投资者公开发行碳中和绿色科技创新乡村振兴可续期公司债券（第二期）募集说明书,申能股份有限公司2024年面向专业投资者公开发行碳中和绿色科技创新乡村振兴可续期公司债券（第二期）募集说明书,2024-07-19,2024-07-19,publish_date_fallback,,,1101,发行公告,https://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2024-07-19/241308_20240719_MA1H.pdf,,,,
SSE,20240719002413097BY8COMPANY_BOND,241309,GC申YKV3,申能股份有限公司2024年面向专业投资者公开发行碳中和绿色科技创新乡村振兴可续期公司债券（第二期）发行公告,申能股份有限公司2024年面向专业投资者公开发行碳中和绿色科技创新乡村振兴可续期公司债券（第二期）发行公告,2024-07-19,2024-07-19,publish_date_fallback,12.0,scale,1101,发行公告,https://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2024-07-19/241309_20240719_7BY8.pdf,,,,
SSE,2024071000241263KX56COMPANY_BOND,241263,GC雅砻V1,雅砻江流域水电开发有限公司2024年面向专业投资者公开发行碳中和绿色乡村振兴公司债券（第一期）发行公告,雅砻江流域水电开发有限公司2024年面向专业投资者公开发行碳中和绿色乡村振兴公司债券（第一期）发行公告,2024-07-10,2024-07-10,publish_date_fallback,,,1101,发行公告,https://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2024-07-10/241263_20240710_KX56.pdf,,,,
SSE,2024071900241309605DCOMPANY_BOND,241309,GC申YKV3,申能股份有限公司2024年面向专业投资者公开发行碳中和绿色科技创新乡村振兴可续期公司债券（第二期）信用评级报告,申能股份有限公司2024年面向专业投资者公开发行碳中和绿色科技创新乡村振兴可续期公司债券（第二期）信用评级报告,2024-07-19,2024-07-19,publish_date_fallback,,,1101,发行公告,https://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2024-07-19/241309_20240719_605D.pdf,,,,
SSE,2024071900241308JHPBCOMPANY_BOND,241308,GC申YKV2,申能股份有限公司2024年面向专业投资者公开发行碳中和绿色科技创新乡村振兴可续期公司债券（第二期）信用评级报告,申能股份有限公司2024年面向专业投资者公开发行碳中和绿色科技创新乡村振兴可续期公司债券（第二期）信用评级报告,2024-07-19,2024-07-19,publish_date_fallback,,,1101,发行公告,https://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2024-07-19/241308_20240719_JHPB.pdf,,,,
SSE,202407100024128592JECOMPANY_BOND,241285,24唐租V1,大唐融资租赁有限公司2024年面向专业投资者公开发行乡村振兴公司债券（第一期）发行公告,大唐融资租赁有限公司2024年面向专业投资者公开发行乡村振兴公司债券（第一期）发行公告,2024-07-10,2024-07-10,publish_date_fallback,5.0,scale,1101,发行公告,https://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2024-07-10/241285_20240710_92JE.pdf,,,,
SSE,20240710002412858H0VCOMPANY_BOND,241285,24唐租V1,大唐融资租赁有限公司2024年面向专业投资者公开发行乡村振兴公司债券（第一期）募集说明书,大唐融资租赁有限公司2024年面向专业投资者公开发行乡村振兴公司债券（第一期）募集说明书,2024-07-10,2024-07-10,publish_date_fallback,,,1101,发行公告,https://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2024-07-10/241285_20240710_8H0V.pdf,,,,
SSE,2024071900241309XK5CCOMPANY_BOND,241309,GC申YKV3,申能股份有限公司2024年面向专业投资者公开发行碳中和绿色科技创新乡村振兴可续期公司债券（第二期）募集说明书,申能股份有限公司2024年面向专业投资者公开发行碳中和绿色科技创新乡村振兴可续期公司债券（第二期）募集说明书,2024-07-19,2024-07-19,publish_date_fallback,,,1101,发行公告,https://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2024-07-19/241309_20240719_XK5C.pdf,,,,
SSE,2024071000241263T4ULCOMPANY_BOND,241263,GC雅砻V1,雅砻江流域水电开发有限公司2024年面向专业投资者公开发行碳中和绿色乡村振兴公司债券（第一期）信用评级报告,雅砻江流域水电开发有限公司2024年面向专业投资者公开发行碳中和绿色乡村振兴公司债券（第一期）信用评级报告,2024-07-10,2024-07-10,publish_date_fallback,,,1101,发行公告,https://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2024-07-10/241263_20240710_T4UL.pdf,,,,
SSE,2024071000241263TKESCOMPANY_BOND,241263,GC雅砻V1,雅砻江流域水电开发有限公司2024年面向专业投资者公开发行碳中和绿色乡村振兴公司债券（第一期）募集说明书,雅砻江流域水电开发有限公司2024年面向专业投资者公开发行碳中和绿色乡村振兴公司债券（第一期）募集说明书,2024-07-10,2024-07-10,publish_date_fallback,10.0,scale,1101,发行公告,https://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2024-07-10/241263_20240710_TKES.pdf,,,,
SSE,2024071000241285B4AVCOMPANY_BOND,241285,24唐租V1,大唐融资租赁有限公司2024年面向专业投资者公开发行乡村振兴公司债券（第一期）募集说明书摘要,大唐融资租赁有限公司2024年面向专业投资者公开发行乡村振兴公司债券（第一期）募集说明书摘要,2024-07-10,2024-07-10,publish_date_fallback,,,1101,发行公告,https://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2024-07-10/241285_20240710_B4AV.pdf,,,,
SSE,2024071000241286JERSCOMPANY_BOND,241286,24唐租V2,大唐融资租赁有限公司2024年面向专业投资者公开发行乡村振兴公司债券（第一期）募集说明书摘要,大唐融资租赁有限公司2024年面向专业投资者公开发行乡村振兴公司债券（第一期）募集说明书摘要,2024-07-10,2024-07-10,publish_date_fallback,,,1101,发行公告,https://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2024-07-10/241286_20240710_JERS.pdf,,,,
SSE,20240710002412869LZ7COMPANY_BOND,241286,24唐租V2,大唐融资租赁有限公司2024年面向专业投资者公开发行乡村振兴公司债券（第一期）发行公告,大唐融资租赁有限公司2024年面向专业投资者公开发行乡村振兴公司债券（第一期）发行公告,2024-07-10,2024-07-10,publish_date_fallback,5.0,scale,1101,发行公告,https://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2024-07-10/241286_20240710_9LZ7.pdf,,,,
SSE,2024071000241286Y8CWCOMPANY_BOND,241286,24唐租V2,大唐融资租赁有限公司2024年面向专业投资者公开发行乡村振兴公司债券（第一期）募集说明书,大唐融资租赁有限公司2024年面向专业投资者公开发行乡村振兴公司债券（第一期）募集说明书,2024-07-10,2024-07-10,publish_date_fallback,,,1101,发行公告,https://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2024-07-10/241286_20240710_Y8CW.pdf,,,,
SSE,202406030024107335Q0COMPANY_BOND,241073,赣交KV01,江西省交通投资集团有限责任公司2024年面向专业投资者公开发行科技创新乡村振兴公司债券（第一期）发行公告,江西省交通投资集团有限责任公司2024年面向专业投资者公开发行科技创新乡村振兴公司债券（第一期）发行公告,2024-06-03,2024-06-03,publish_date_fallback,5.0,scale,1101,发行公告,https://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2024-06-03/241073_20240603_35Q0.pdf,,,,
SSE,2024060400241065BGILCOMPANY_BOND,241065,24交租V1,中交融资租赁有限公司2024年面向专业投资者公开发行乡村振兴公司债券（第一期）募集说明书,中交融资租赁有限公司2024年面向专业投资者公开发行乡村振兴公司债券（第一期）募集说明书,2024-06-04,2024-06-04,publish_date_fallback,,,1101,发行公告,https://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2024-06-04/241065_20240604_BGIL.pdf,,,,
SSE,20240325002406394Q7NCOMPANY_BOND,240639,GC申YKV1,申能股份有限公司2024年面向专业投资者公开发行碳中和绿色科技创新乡村振兴可续期公司债券（第一期）发行公告,申能股份有限公司2024年面向专业投资者公开发行碳中和绿色科技创新乡村振兴可续期公司债券（第一期）发行公告,2024-03-25,2024-03-25,publish_date_fallback,10.0,scale,1101,发行公告,https://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2024-03-25/240639_20240325_4Q7N.pdf,,,,
SSE,2024060400241065W8XJCOMPANY_BOND,241065,24交租V1,中交融资租赁有限公司2024年面向专业投资者公开发行乡村振兴公司债券（第一期）发行公告,中交融资租赁有限公司2024年面向专业投资者公开发行乡村振兴公司债券（第一期）发行公告,2024-06-04,2024-06-04,publish_date_fallback,,,1101,发行公告,https://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2024-06-04/241065_20240604_W8XJ.pdf,,,,
SSE,20240325002406391DYYCOMPANY_BOND,240639,GC申YKV1,申能股份有限公司2024年面向专业投资者公开发行碳中和绿色科技创新乡村振兴可续期公司债券（第一期）募集说明书,申能股份有限公司2024年面向专业投资者公开发行碳中和绿色科技创新乡村振兴可续期公司债券（第一期）募集说明书,2024-03-25,2024-03-25,publish_date_fallback,,,1101,发行公告,https://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2024-03-25/240639_20240325_1DYY.pdf,,,,
SSE,2024060300241073X635COMPANY_BOND,241073,赣交KV01,江西省交通投资集团有限责任公司2024年面向专业投资者公开发行科技创新乡村振兴公司债券（第一期）募集说明书,江西省交通投资集团有限责任公司2024年面向专业投资者公开发行科技创新乡村振兴公司债券（第一期）募集说明书,2024-06-03,2024-06-03,publish_date_fallback,,,1101,发行公告,https://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2024-06-03/241073_20240603_X635.pdf,,,,
SSE,2024032500240639GDFVCOMPANY_BOND,240639,GC申YKV1,申能股份有限公司2024年面向专业投资者公开发行碳中和绿色科技创新乡村振兴可续期公司债券（第一期）信用评级报告,申能股份有限公司2024年面向专业投资者公开发行碳中和绿色科技创新乡村振兴可续期公司债券（第一期）信用评级报告,2024-03-25,2024-03-25,publish_date_fallback,,,1101,发行公告,https://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2024-03-25/240639_20240325_GDFV.pdf,,,,
SZSE,618171,134743,25绿冶V1,关于为湖北绿冶产业投资集团有限公司2025年面向专业投资者非公开发行乡村振兴公司债券（第一期）提供转让服务有关事项的通知,关于为湖北绿冶产业投资集团有限公司2025年面向专业投资者非公开发行乡村振兴公司债券（第一期）提供转让服务有关事项的通知,2025-12-29,2025-12-30,szse_listing_start_sentence,2.0,total,,,http://www.szse.cn/disclosure/notice/bond/t20251229_618171.html,,,,
SZSE,617070,134582,25明诚V,关于为菏泽市明诚产业投资有限公司2025年面向专业投资者非公开发行乡村振兴公司债券提供转让服务有关事项的通知,关于为菏泽市明诚产业投资有限公司2025年面向专业投资者非公开发行乡村振兴公司债券提供转让服务有关事项的通知,2025-11-05,2025-11-06,szse_listing_start_sentence,3.0,total,,,http://www.szse.cn/disclosure/notice/bond/t20251105_617070.html,,,,
SZSE,617046,,鲲鹏28A1,关于为“中信证券-越秀租赁鲲鹏第28期碳中和绿色资产支持专项计划（乡村振兴）（战略性新兴）”提供转让服务的公告,关于为“中信证券-越秀租赁鲲鹏第28期碳中和绿色资产支持专项计划（乡村振兴）（战略性新兴）”提供转让服务的公告,2025-11-04,2025-11-04,publish_date_fallback,,,,,http://www.szse.cn/disclosure/notice/bond/t20251104_617046.html,,,,
